DEBUG 2025-07-27 17:41:17,482 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1753647568.9983847
DEBUG 2025-07-27 17:41:17,482 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1753647580.6646965
DEBUG 2025-07-27 17:41:17,482 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,482 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,490 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1753647371.9440973
DEBUG 2025-07-27 17:41:17,490 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1753647444.750146
DEBUG 2025-07-27 17:41:17,490 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1753647577.4135256
DEBUG 2025-07-27 17:41:17,490 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1753647570.4935193
DEBUG 2025-07-27 17:41:17,490 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1753647579.363362
DEBUG 2025-07-27 17:41:17,501 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,501 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_tzpath.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,501 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,501 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1753647569.8221192
DEBUG 2025-07-27 17:41:17,501 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\template\response.py first seen with mtime 1753647575.2992368
DEBUG 2025-07-27 17:41:17,501 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,510 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\urls\base.py first seen with mtime 1753647576.7419121
DEBUG 2025-07-27 17:41:17,510 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\selectors.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,510 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1725665474.0
